Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
Department of Justice,General Administration,Salaries and Expenses,15-0129,No Year,No Year,15-0129 /X - Salaries and Expenses,$1.6M,$1.9M,81.9%
Department of Justice,Legal Activities and U.S. Marshals,"Salaries and Expenses, United States Marshals Service",15-0324,FY2017-FY2018,2018,"15-0324 17/18 - Salaries and Expenses, United States Marshals Service",$1.0M,$1.2M,81.7%
Department of Justice,Legal Activities and U.S. Marshals,"Salaries and Expenses, United States Marshals Service",15-0324,FY2016-FY2017,2017,"15-0324 16/17 - Salaries and Expenses, United States Marshals Service",$0.1M,$1.0M,8.5%
Department of Justice,Office of Justice Programs,"Salaries and Expenses, Office of Justice Programs",15-0420,No Year,No Year,"15-0420 /X - Salaries and Expenses, Office of Justice Programs",$0.8M,$0.8M,100.0%
Department of Justice,Office of Justice Programs,Weed and Seed Program Fund,15-0334,No Year,No Year,15-0334 /X - Weed and Seed Program Fund,$0.6M,$0.6M,100.0%
Department of Justice,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",Salaries and Expenses,15-0700,FY2016-FY2017,2017,15-0700 16/17 - Salaries and Expenses,$0.1M,$0.3M,21.6%
Department of Justice,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",Salaries and Expenses,15-0700,FY2017-FY2018,2018,15-0700 17/18 - Salaries and Expenses,$0.3M,$0.3M,97.9%
Department of Justice,Office of Justice Programs,Community Policing,15-8594,No Year,No Year,15-8594 /X - Community Policing,$0.2M,$0.2M,100.0%
Department of Justice,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",Construction,15-0720,No Year,No Year,15-0720 /X - Construction,$0.0M,$0.0M,100.0%
Department of Justice,Drug Enforcement Administration,Construction,15-1101,No Year,No Year,15-1101 /X - Construction,$0.0M,$0.0M,100.0%
Department of Justice,General Administration,Justice Gift Fund,15-8305,No Year,No Year,15-8305 /X - Justice Gift Fund,$0.0M,$0.0M,47.7%
Department of Justice,General Administration,Detention Trustee,15-0136,No Year,No Year,15-0136 /X - Detention Trustee,$0.0M,$0.0M,100.0%
Department of Justice,Legal Activities and U.S. Marshals,Payment of Vietnam and U.S.S. Pueblo Prisoner of War Claims,15-0104,No Year,No Year,15-0104 /X - Payment of Vietnam and U.S.S. Pueblo Prisoner of War Claims,$0.0M,$0.0M,100.0%
Department of Justice,Office of Justice Programs,"Gifts, Crime Victims Fund",15-8306,No Year,No Year,"15-8306 /X - Gifts, Crime Victims Fund",$0.0M,$0.0M,100.0%
Department of Labor,Employment and Training Administration,Unemployment Trust Fund,16-8042,No Year,No Year,16-8042 /X - Unemployment Trust Fund,"$15,641.7M","$47,590.9M",32.9%
Department of Labor,Pension Benefit Guaranty Corporation,Pension Benefit Guaranty Corporation Fund,16-4204,No Year,No Year,16-4204 /X - Pension Benefit Guaranty Corporation Fund,"$27,302.3M","$33,070.8M",82.6%
Department of Labor,Office of Workers' Compensation Programs,Special Benefits,16-1521,No Year,No Year,16-1521 /X - Special Benefits,"$1,822.4M","$4,500.6M",40.5%
Department of Labor,Employment and Training Administration,State Unemployment Insurance and Employment Service Operations,16-0179,FY2017-FY2018,2018,16-0179 17/18 - State Unemployment Insurance and Employment Service Operations,$143.1M,"$3,427.7M",4.2%
Department of Labor,Employment and Training Administration,Training and Employment Services,16-0174,FY2017,2017,16-0174 /17 - Training and Employment Services,$27.9M,"$1,691.1M",1.6%
Department of Labor,Employment and Training Administration,Training and Employment Services,16-0174,FY2017-FY2018,2018,16-0174 17/18 - Training and Employment Services,$274.9M,"$1,552.7M",17.7%
Department of Labor,Employment and Training Administration,Office of Job Corps,16-0181,FY2017-FY2018,2018,16-0181 17/18 - Office of Job Corps,$938.0M,"$1,512.3M",62.0%
Department of Labor,Office of Workers' Compensation Programs,Energy Employees Occupational Illness Compensation Fund,16-1523,No Year,No Year,16-1523 /X - Energy Employees Occupational Illness Compensation Fund,$109.0M,"$1,256.1M",8.7%
Department of Labor,Employment and Training Administration,Federal Unemployment Benefits and Allowances,16-0326,FY2017,2017,16-0326 /17 - Federal Unemployment Benefits and Allowances,$116.7M,$790.4M,14.8%
Department of Labor,Employment and Training Administration,Office of Job Corps,16-0181,FY2016-FY2017,2017,16-0181 16/17 - Office of Job Corps,$16.0M,$766.2M,2.1%
Department of Labor,Bureau of Labor Statistics,Salaries and Expenses,16-0200,FY2017,2017,16-0200 /17 - Salaries and Expenses,$78.7M,$641.1M,12.3%
Department of Labor,Occupational Safety and Health Administration,Salaries and Expenses,16-0400,FY2017,2017,16-0400 /17 - Salaries and Expenses,$36.1M,$555.7M,6.5%
Department of Labor,Departmental Management,Working Capital Fund,16-4601,No Year,No Year,16-4601 /X - Working Capital Fund,$103.0M,$437.2M,23.5%
Department of Labor,Employment and Training Administration,Community Service Employment for Older Americans,16-0175,FY2017-FY2018,2018,16-0175 17/18 - Community Service Employment for Older Americans,$5.0M,$400.0M,1.3%
Department of Labor,Office of Workers' Compensation Programs,Black Lung Disability Trust Fund,16-16-8144,No Year,No Year,16-16-8144 /X - Black Lung Disability Trust Fund,$153.5M,$377.8M,40.6%
Department of Labor,Mine Safety and Health Administration,Salaries and Expenses,16-1200,FY2017,2017,16-1200 /17 - Salaries and Expenses,$33.9M,$377.1M,9.0%
Department of Labor,Departmental Management,Salaries and Expenses,16-0165,FY2017,2017,16-0165 /17 - Salaries and Expenses,$48.5M,$337.8M,14.3%
Department of Labor,Departmental Management,Veterans Employment and Training,16-0164,FY2017,2017,16-0164 /17 - Veterans Employment and Training,$12.1M,$281.0M,4.3%
Department of Labor,Employment and Training Administration,Training and Employment Services,16-0174,FY2016-FY2017,2017,16-0174 16/17 - Training and Employment Services,$15.8M,$261.8M,6.0%
Department of Labor,Employment and Training Administration,"Training and Employment Services, H-1B Funded",16-5152,No Year,No Year,"16-5152 /X - Training and Employment Services, H-1B Funded",$113.3M,$243.1M,46.6%
Department of Labor,Wage and Hour Division,Salaries and Expenses,16-0143,FY2017,2017,16-0143 /17 - Salaries and Expenses,$31.2M,$231.5M,13.5%
Department of Labor,Employee Benefits Security Administration,Salaries and Expenses,16-1700,FY2017,2017,16-1700 /17 - Salaries and Expenses,$19.5M,$189.0M,10.3%
Department of Labor,Office of Workers' Compensation Programs,Special Benefits for Disabled Coal Miners,16-0169,No Year,No Year,16-0169 /X - Special Benefits for Disabled Coal Miners,$100.2M,$183.2M,54.7%
Department of Labor,Employment and Training Administration,Community Service Employment for Older Americans,16-0175,FY2016-FY2017,2017,16-0175 16/17 - Community Service Employment for Older Americans,$2.2M,$171.7M,1.3%
Department of Labor,Office of Workers' Compensation Programs,"Relief and Rehabilitation, Longshoremen's and Harbor Workers' Co",16-8130,No Year,No Year,"16-8130 /X - Relief and Rehabilitation, Longshoremen's and Harbor Workers' Co",$64.3M,$164.1M,39.2%
Department of Labor,Employment and Training Administration,Program Administration,16-0172,FY2017,2017,16-0172 /17 - Program Administration,$17.8M,$161.9M,11.0%
Department of Labor,Office of Workers' Compensation Programs,Salaries and Expenses,16-0163,FY2017,2017,16-0163 /17 - Salaries and Expenses,$14.8M,$155.4M,9.5%
Department of Labor,Office of Workers' Compensation Programs,"Administrative Expenses, Energy Employees Occupational Illness C",16-1524,No Year,No Year,"16-1524 /X - Administrative Expenses, Energy Employees Occupational Illness C",$15.6M,$134.4M,11.6%
Department of Labor,Employment and Training Administration,Office of Job Corps,12-16-0181,FY2016-FY2017,2017,12-16-0181 16/17 - Office of Job Corps,$0.3M,$110.4M,0.3%
Department of Labor,Office of Federal Contract Compliance Programs,Salaries and Expenses,16-0148,FY2017,2017,16-0148 /17 - Salaries and Expenses,$19.6M,$104.5M,18.7%
Department of Labor,Employment and Training Administration,State Unemployment Insurance and Employment Service Operations,16-0179,FY2016-FY2017,2017,16-0179 16/17 - State Unemployment Insurance and Employment Service Operations,$0.6M,$101.5M,0.6%
Department of Labor,Employment and Training Administration,State Unemployment Insurance and Employment Service Operations,16-0179,FY2017,2017,16-0179 /17 - State Unemployment Insurance and Employment Service Operations,$23.0M,$97.2M,23.7%
Department of Labor,Departmental Management,Office of the Inspector General,16-0106,FY2017,2017,16-0106 /17 - Office of the Inspector General,$9.3M,$88.5M,10.5%
Department of Labor,Employment and Training Administration,Office of Job Corps,16-0181,FY2017-FY2020,2020,16-0181 17/20 - Office of Job Corps,$80.5M,$84.5M,95.2%
Department of Labor,Employment and Training Administration,Office of Job Corps,12-16-0181,FY2017-FY2018,2018,12-16-0181 17/18 - Office of Job Corps,$43.2M,$75.0M,57.6%
Department of Labor,Employment and Training Administration,Office of Job Corps,16-0181,FY2016-FY2019,2019,16-0181 16/19 - Office of Job Corps,$0.6M,$72.7M,0.9%
Department of Labor,Departmental Management,Salaries and Expenses,16-0165,FY2017-FY2018,2018,16-0165 17/18 - Salaries and Expenses,$58.5M,$67.9M,86.2%
Department of Labor,Wage and Hour Division,H-1 B and L Fraud Prevention and Detection,16-5393,No Year,No Year,16-5393 /X - H-1 B and L Fraud Prevention and Detection,$13.0M,$65.6M,19.9%
Department of Labor,Departmental Management,Salaries and Expenses,16-0165,FY2016-FY2017,2017,16-0165 16/17 - Salaries and Expenses,$16.6M,$60.8M,27.3%
Department of Labor,Employment and Training Administration,State Unemployment Insurance and Employment Service Operations,16-0179,No Year,No Year,16-0179 /X - State Unemployment Insurance and Employment Service Operations,$51.2M,$58.8M,87.0%
Department of Labor,Employment and Training Administration,Office of Job Corps,16-0181,FY2015-FY2018,2018,16-0181 15/18 - Office of Job Corps,$12.6M,$39.6M,31.8%
Department of Labor,Employment and Training Administration,Federal Additional Unemployment Compensation Program,16-1801,No Year,No Year,16-1801 /X - Federal Additional Unemployment Compensation Program,$34.4M,$38.4M,89.5%
Department of Labor,Departmental Management,Office of Disability Employment Policy,16-0166,FY2017,2017,16-0166 /17 - Office of Disability Employment Policy,$21.2M,$38.2M,55.5%
Department of Labor,Office of Labor Management Standards,Salaries and Expenses,16-0150,FY2017,2017,16-0150 /17 - Salaries and Expenses,$1.6M,$38.2M,4.3%
Department of Labor,Office of Workers' Compensation Programs,Panama Canal Commission Compensation Fund,16-5155,No Year,No Year,16-5155 /X - Panama Canal Commission Compensation Fund,$33.1M,$37.6M,88.0%
Department of Labor,Employment and Training Administration,Office of Job Corps,16-0181,FY2017,2017,16-0181 /17 - Office of Job Corps,$5.2M,$32.3M,16.2%
Department of Labor,Employment and Training Administration,"Salaries and Expenses, H-1B Funded",16-5142,No Year,No Year,"16-5142 /X - Salaries and Expenses, H-1B Funded",$17.4M,$28.3M,61.6%
Department of Labor,Employment and Training Administration,"Training and Employment Services, Recovery Act",16-0184,No Year,No Year,"16-0184 /X - Training and Employment Services, Recovery Act",$22.9M,$24.3M,94.6%
Department of Labor,Employment and Training Administration,"Salaries and Expenses, H-1B Funded",16-5142,FY2017-FY2018,2018,"16-5142 17/18 - Salaries and Expenses, H-1B Funded",$20.0M,$20.0M,100.0%
Department of Labor,Employment and Training Administration,Office of Job Corps,16-0181,FY2014-FY2017,2017,16-0181 14/17 - Office of Job Corps,$5.7M,$19.4M,29.4%
Department of Labor,Departmental Management,IT Modernization,16-0162,FY2017-FY2018,2018,16-0162 17/18 - IT Modernization,$18.8M,$18.8M,100.0%
Department of Labor,Employment and Training Administration,Training and Employment Services,14-16-0174,FY2017-FY2018,2018,14-16-0174 17/18 - Training and Employment Services,$0.3M,$14.0M,2.3%
Department of Labor,Office of Workers' Compensation Programs,"Relief and Rehabilitation, Workmen's Compensation Act, within Th",16-8134,No Year,No Year,"16-8134 /X - Relief and Rehabilitation, Workmen's Compensation Act, within Th",$5.5M,$10.8M,51.2%
Department of Labor,Employment and Training Administration,"Salaries and Expenses, H-1B Funded",16-5142,FY2016-FY2017,2017,"16-5142 16/17 - Salaries and Expenses, H-1B Funded",$0.5M,$8.6M,5.3%
Department of Labor,Employment and Training Administration,Community Service Employment for Older Americans,16-0175,FY2014-FY2017,2017,16-0175 14/17 - Community Service Employment for Older Americans,$0.0M,$4.9M,0.3%
Department of Labor,Employment and Training Administration,Office of Job Corps,16-0181,No Year,No Year,16-0181 /X - Office of Job Corps,$4.9M,$4.9M,100.0%
Department of Labor,Employment and Training Administration,Office of Job Corps,12-16-0181,FY2015-FY2018,2018,12-16-0181 15/18 - Office of Job Corps,$2.6M,$4.7M,56.6%
Department of Labor,Employment and Training Administration,Office of Job Corps,12-16-0181,FY2016-FY2019,2019,12-16-0181 16/19 - Office of Job Corps,$1.4M,$2.3M,61.4%
Department of Labor,Employment and Training Administration,Program Administration,16-0172,FY2017-FY2018,2018,16-0172 17/18 - Program Administration,$1.4M,$1.5M,94.4%
Department of Labor,Employment and Training Administration,Program Administration,16-0172,FY2016-FY2017,2017,16-0172 16/17 - Program Administration,$0.4M,$1.1M,32.9%
Department of Labor,Employment and Training Administration,Short Time Compensation Programs,16-0168,No Year,No Year,16-0168 /X - Short Time Compensation Programs,$0.9M,$0.9M,99.9%
Department of Labor,Employment and Training Administration,Office of Job Corps,12-16-0181,FY2014-FY2017,2017,12-16-0181 14/17 - Office of Job Corps,$0.0M,$0.9M,1.1%
Department of Labor,Departmental Management,Salaries and Expenses,16-0165,No Year,No Year,16-0165 /X - Salaries and Expenses,$0.4M,$0.4M,100.0%
Department of Labor,Wage and Hour Division,Wage and Hour Division H-2B,16-0142,No Year,No Year,16-0142 /X - Wage and Hour Division H-2B,$0.2M,$0.2M,100.0%
Department of Labor,Departmental Management,Gifts and Bequests,16-8131,No Year,No Year,16-8131 /X - Gifts and Bequests,$0.1M,$0.1M,100.0%
Department of Labor,Departmental Management,IT Modernization,16-0162,FY2017,2017,16-0162 /17 - IT Modernization,$-3.8M,$0.0M,100.0%
Department of Labor,Employment and Training Administration,"Federal Addtl Unemployment Compensation Program, Recovery Act",16-1800,No Year,No Year,"16-1800 /X - Federal Addtl Unemployment Compensation Program, Recovery Act",$-1.9M,$0.0M,100.0%
Department of Labor,Mine Safety and Health Administration,Salaries and Expenses,16-1200,No Year,No Year,16-1200 /X - Salaries and Expenses,$0.0M,$0.0M,100.0%
Department of State,Administration of Foreign Affairs,"Embassy Security, Construction, and Maintenance",19-0535,No Year,No Year,"19-0535 /X - Embassy Security, Construction, and Maintenance","$9,178.7M","$12,645.9M",72.6%
Department of State,Administration of Foreign Affairs,Diplomatic and Consular Programs,19-0113,No Year,No Year,19-0113 /X - Diplomatic and Consular Programs,"$5,182.5M","$11,870.4M",43.7%
