Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
Department of Transportation,Office of the Secretary,Minority Business Outreach,69-0119,FY2013-FY2014,2014,69-0119 13/14 - Minority Business Outreach,$0.5M,$1.4M,36.9%
Department of Transportation,Maritime Administration,Assistance to Small Shipyards,69-1770,No Year,No Year,69-1770 /X - Assistance to Small Shipyards,$1.0M,$1.2M,78.5%
Department of Transportation,Federal Highway Administration,Federal-aid Highways,21-69-8083,No Year,No Year,21-69-8083 /X - Federal-aid Highways,$0.8M,$1.1M,70.8%
Department of Transportation,Federal Railroad Administration,Railroad Safety Technology Program,69-0701,No Year,No Year,69-0701 /X - Railroad Safety Technology Program,$1.1M,$1.1M,100.0%
Department of Transportation,Office of the Secretary,Minority Business Resource Center Program,69-0155,FY2014,2014,69-0155 /14 - Minority Business Resource Center Program,$0.9M,$1.1M,84.6%
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Hazardous Materials Safety,69-1401,No Year,No Year,69-1401 /X - Hazardous Materials Safety,$0.9M,$1.1M,80.2%
Department of Transportation,Federal Highway Administration,Study of Improvements to Highway 8 in Wisconsin,69-8061,No Year,No Year,69-8061 /X - Study of Improvements to Highway 8 in Wisconsin,$1.0M,$1.0M,100.0%
Department of Transportation,Federal Railroad Administration,Northeast Corridor Improvement Program,69-0123,No Year,No Year,69-0123 /X - Northeast Corridor Improvement Program,$1.0M,$1.0M,100.0%
Department of Transportation,Office of the Secretary,Financial Management Capital,69-0116,FY2013-FY2014,2014,69-0116 13/14 - Financial Management Capital,$0.2M,$1.0M,15.0%
Department of Transportation,Office of the Secretary,"Transportation Planning, Research, and Development",69-0142,FY2013-FY2014,2014,"69-0142 13/14 - Transportation Planning, Research, and Development",$0.8M,$1.0M,84.4%
Department of Transportation,Office of the Secretary,Minority Business Resource Center Guaranteed Loan Financing Acco,69-4082,No Year,No Year,69-4082 /X - Minority Business Resource Center Guaranteed Loan Financing Acco,$0.9M,$1.0M,87.2%
Department of Transportation,Federal Transit Administration,Urban Formula Grants,69-1124,No Year,No Year,69-1124 /X - Urban Formula Grants,$0.9M,$0.9M,100.0%
Department of Transportation,Office of the Secretary,Research and Technology,69-1730,FY2013-FY2015,2015,69-1730 13/15 - Research and Technology,$0.7M,$0.9M,75.4%
Department of Transportation,Federal Transit Administration,Administrative Expenses,69-1120,No Year,No Year,69-1120 /X - Administrative Expenses,$0.2M,$0.8M,22.8%
Department of Transportation,Federal Transit Administration,Urban Mass Transportation Fund,69-1119,No Year,No Year,69-1119 /X - Urban Mass Transportation Fund,$0.8M,$0.8M,100.0%
Department of Transportation,Federal Transit Administration,Urban Discretionary Grants,69-1122,No Year,No Year,69-1122 /X - Urban Discretionary Grants,$0.7M,$0.7M,100.0%
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Pipeline Safety,69-5172,No Year,No Year,69-5172 /X - Pipeline Safety,$0.7M,$0.7M,100.0%
Department of Transportation,Federal Highway Administration,I-35W Bridge Repair and Reconstruction,69-0550,No Year,No Year,69-0550 /X - I-35W Bridge Repair and Reconstruction,$0.0M,$0.6M,0.0%
Department of Transportation,Federal Highway Administration,Federal-aid Highways,95-69-8083,No Year,No Year,95-69-8083 /X - Federal-aid Highways,$0.5M,$0.6M,84.7%
Department of Transportation,Federal Transit Administration,University Transportation Research,69-1136,No Year,No Year,69-1136 /X - University Transportation Research,$0.6M,$0.6M,100.0%
Department of Transportation,Office of the Secretary,Research and Technology,69-1730,FY2012-FY2014,2014,69-1730 12/14 - Research and Technology,$0.2M,$0.6M,39.6%
Department of Transportation,Federal Highway Administration,Denali Access System Program,95-69-0511,No Year,No Year,95-69-0511 /X - Denali Access System Program,$0.1M,$0.5M,11.3%
Department of Transportation,Federal Highway Administration,Highway Beautification,69-0540,No Year,No Year,69-0540 /X - Highway Beautification,$0.5M,$0.5M,100.0%
Department of Transportation,Federal Highway Administration,Rail Crossings--demonstration Projects,69-0555,No Year,No Year,69-0555 /X - Rail Crossings--demonstration Projects,$0.5M,$0.5M,100.0%
Department of Transportation,Federal Highway Administration,Expressway Safety Improvement Demo,69-0580,No Year,No Year,69-0580 /X - Expressway Safety Improvement Demo,$0.5M,$0.5M,100.0%
Department of Transportation,Federal Highway Administration,Mineola Grade Crossing,69-8386,No Year,No Year,69-8386 /X - Mineola Grade Crossing,$0.5M,$0.5M,100.0%
Department of Transportation,Federal Highway Administration,Access Highways to Public Recreation Areas on Certain Lakes,69-0503,No Year,No Year,69-0503 /X - Access Highways to Public Recreation Areas on Certain Lakes,$0.4M,$0.4M,100.0%
Department of Transportation,Federal Highway Administration,Urban Highway Corridor and Bicycle Transportation Demo,69-0574,No Year,No Year,69-0574 /X - Urban Highway Corridor and Bicycle Transportation Demo,$0.4M,$0.4M,100.0%
Department of Transportation,Federal Transit Administration,"Research, Training, and Human Resources",69-1121,No Year,No Year,"69-1121 /X - Research, Training, and Human Resources",$0.4M,$0.4M,100.0%
Department of Transportation,National Highway Traffic Safety Administration,National Driver Register,69-8362,No Year,No Year,69-8362 /X - National Driver Register,$0.4M,$0.4M,100.0%
Department of Transportation,Office of the Secretary,"Transportation Planning, Research, and Development",69-0142,FY2010-FY2015,2015,"69-0142 10/15 - Transportation Planning, Research, and Development",$0.4M,$0.4M,98.5%
Department of Transportation,Federal Highway Administration,"Feasibility, Design, Environmental, Engineering",69-0533,No Year,No Year,"69-0533 /X - Feasibility, Design, Environmental, Engineering",$0.3M,$0.3M,100.0%
Department of Transportation,Federal Highway Administration,"Technical Assistance, United States Dollars Advanced from Foreig",69-8502,No Year,No Year,"69-8502 /X - Technical Assistance, United States Dollars Advanced from Foreig",$0.3M,$0.3M,99.0%
Department of Transportation,Federal Highway Administration,Trust Fund Share of Other Highway Programs,69-8009,No Year,No Year,69-8009 /X - Trust Fund Share of Other Highway Programs,$0.3M,$0.3M,100.0%
Department of Transportation,Federal Highway Administration,Highway Safety Improvement Demonstration Project,69-8087,No Year,No Year,69-8087 /X - Highway Safety Improvement Demonstration Project,$0.3M,$0.3M,100.0%
Department of Transportation,Federal Highway Administration,Pennsylvania Reconstruction Demonstration Project,69-8381,No Year,No Year,69-8381 /X - Pennsylvania Reconstruction Demonstration Project,$0.0M,$0.3M,0.0%
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Research and Special Programs,69-0104,No Year,No Year,69-0104 /X - Research and Special Programs,$0.3M,$0.3M,95.3%
Department of Transportation,Federal Railroad Administration,West Virginia Rail Development,69-0758,No Year,No Year,69-0758 /X - West Virginia Rail Development,$0.2M,$0.2M,100.0%
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Emergency Preparedness Grants,69-5282,FY2013-FY2014,2014,69-5282 13/14 - Emergency Preparedness Grants,$0.2M,$0.2M,100.0%
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Emergency Preparedness Grants,69-5282,FY2014-FY2015,2015,69-5282 14/15 - Emergency Preparedness Grants,$0.2M,$0.2M,100.0%
Department of Transportation,Federal Highway Administration,Tiger TIFIA Direct Loan Financing Account,69-4347,No Year,No Year,69-4347 /X - Tiger TIFIA Direct Loan Financing Account,$0.1M,$0.1M,100.0%
Department of Transportation,Federal Highway Administration,Federal-aid Highways,57-69-8083,No Year,No Year,57-69-8083 /X - Federal-aid Highways,$0.1M,$0.1M,86.7%
Department of Transportation,Federal Highway Administration,Federal-aid Highways,64-69-8083,No Year,No Year,64-69-8083 /X - Federal-aid Highways,$0.0M,$0.1M,0.0%
Department of Transportation,Federal Highway Administration,Inter-American Highway,69-0506,No Year,No Year,69-0506 /X - Inter-American Highway,$0.1M,$0.1M,100.0%
Department of Transportation,Federal Highway Administration,Alaska Highway,69-0537,No Year,No Year,69-0537 /X - Alaska Highway,$0.1M,$0.1M,100.0%
Department of Transportation,Federal Highway Administration,Kentucky Bridge Demo Project,69-0572,No Year,No Year,69-0572 /X - Kentucky Bridge Demo Project,$0.1M,$0.1M,100.0%
Department of Transportation,Federal Railroad Administration,Office of the Administrator,69-0122,No Year,No Year,69-0122 /X - Office of the Administrator,$0.1M,$0.1M,100.0%
Department of Transportation,Federal Railroad Administration,Pennsylvania Station Redevelopment Project,69-0723,No Year,No Year,69-0723 /X - Pennsylvania Station Redevelopment Project,$0.1M,$0.1M,100.0%
Department of Transportation,Federal Aviation Administration,"Facilities, Engineering and Development",69-1303,No Year,No Year,"69-1303 /X - Facilities, Engineering and Development",$0.0M,$0.0M,100.0%
Department of Transportation,Federal Highway Administration,"TIFIA General Fund Program Account, Federal Highway Administrati",69-0542,No Year,No Year,"69-0542 /X - TIFIA General Fund Program Account, Federal Highway Administrati",$0.0M,$0.0M,100.0%
Department of Transportation,Federal Highway Administration,Transportation Infrastructure Finance and Innovation Program Loa,69-4145,No Year,No Year,69-4145 /X - Transportation Infrastructure Finance and Innovation Program Loa,$0.0M,$0.0M,100.0%
Department of Transportation,Federal Highway Administration,Transportation Infrastructure Finance and Innovation Program Lin,69-4173,No Year,No Year,69-4173 /X - Transportation Infrastructure Finance and Innovation Program Lin,$0.0M,$0.0M,100.0%
Department of Transportation,Federal Highway Administration,Federal-aid Highways,86-69-8083,No Year,No Year,86-69-8083 /X - Federal-aid Highways,$0.0M,$0.0M,0.0%
Department of Transportation,Federal Highway Administration,Highway Bypass Demonstration,69-0518,No Year,No Year,69-0518 /X - Highway Bypass Demonstration,$0.0M,$0.0M,0.0%
Department of Transportation,Federal Highway Administration,Highway Widening and Improvement,69-0519,No Year,No Year,69-0519 /X - Highway Widening and Improvement,$0.0M,$0.0M,0.0%
Department of Transportation,Federal Highway Administration,Congestion Mitigation,69-0524,No Year,No Year,69-0524 /X - Congestion Mitigation,$0.0M,$0.0M,0.0%
Department of Transportation,Federal Highway Administration,Schenectady Bridge,69-0527,No Year,No Year,69-0527 /X - Schenectady Bridge,$0.0M,$0.0M,100.0%
Department of Transportation,Federal Highway Administration,Highway Safety Improvement Demonstration Project,69-0530,No Year,No Year,69-0530 /X - Highway Safety Improvement Demonstration Project,$0.0M,$0.0M,100.0%
Department of Transportation,Federal Highway Administration,Surface Transportation Priorities,95-69-0538,No Year,No Year,95-69-0538 /X - Surface Transportation Priorities,$0.0M,$0.0M,0.0%
Department of Transportation,Federal Highway Administration,Territorial Highways,69-0556,No Year,No Year,69-0556 /X - Territorial Highways,$0.0M,$0.0M,6.2%
Department of Transportation,Federal Highway Administration,Climbing Lane and Highway Safety Demonstration Project,69-0566,No Year,No Year,69-0566 /X - Climbing Lane and Highway Safety Demonstration Project,$0.0M,$0.0M,100.0%
Department of Transportation,Federal Highway Administration,Virginia HOV Safety Demo Project,69-0573,No Year,No Year,69-0573 /X - Virginia HOV Safety Demo Project,$0.0M,$0.0M,0.0%
Department of Transportation,Federal Highway Administration,Urban Airport Access Safety Demo Project,69-0575,No Year,No Year,69-0575 /X - Urban Airport Access Safety Demo Project,$0.0M,$0.0M,100.0%
Department of Transportation,Federal Highway Administration,Highway 20 Realignment Project,69-0593,No Year,No Year,69-0593 /X - Highway 20 Realignment Project,$0.0M,$0.0M,100.0%
Department of Transportation,Federal Highway Administration,Woodrow Wilson Memorial Bridge,69-0648,No Year,No Year,69-0648 /X - Woodrow Wilson Memorial Bridge,$0.0M,$0.0M,0.0%
Department of Transportation,Federal Highway Administration,"Equipment Supplies, Etc., for Cooperating Countries",69-8632,No Year,No Year,"69-8632 /X - Equipment Supplies, Etc., for Cooperating Countries",$0.0M,$0.0M,100.0%
Department of Transportation,Federal Highway Administration,Highway Safety Research and Development,69-8017,No Year,No Year,69-8017 /X - Highway Safety Research and Development,$0.0M,$0.0M,100.0%
Department of Transportation,Federal Highway Administration,Highway Railroad Grade Crossing Safety Demonstration,69-8081,No Year,No Year,69-8081 /X - Highway Railroad Grade Crossing Safety Demonstration,$0.0M,$0.0M,100.0%
Department of Transportation,Federal Highway Administration,Nuclear Waste Transportation Safety Demonstration Project,69-8082,No Year,No Year,69-8082 /X - Nuclear Waste Transportation Safety Demonstration Project,$0.0M,$0.0M,0.0%
Department of Transportation,Federal Highway Administration,Highway Demonstration Projects,69-8363,No Year,No Year,69-8363 /X - Highway Demonstration Projects,$0.0M,$0.0M,100.0%
Department of Transportation,Federal Highway Administration,Climbing Lane and Highway Safety Demonstration Project,69-8374,No Year,No Year,69-8374 /X - Climbing Lane and Highway Safety Demonstration Project,$0.0M,$0.0M,100.0%
Department of Transportation,Federal Highway Administration,Pennsylvania Toll Road Demonstration Project,69-8380,No Year,No Year,69-8380 /X - Pennsylvania Toll Road Demonstration Project,$0.0M,$0.0M,0.0%
Department of Transportation,Federal Highway Administration,Metropolitan Planning,69-8390,No Year,No Year,69-8390 /X - Metropolitan Planning,$0.0M,$0.0M,100.0%
Department of Transportation,Federal Motor Carrier Safety Administration,Motor Carrier Safety,69-8055,No Year,No Year,69-8055 /X - Motor Carrier Safety,$0.0M,$0.0M,61.8%
Department of Transportation,Federal Railroad Administration,Efficiency Incentive Grants to the National Railroad Passenger C,69-0120,No Year,No Year,69-0120 /X - Efficiency Incentive Grants to the National Railroad Passenger C,$0.0M,$0.0M,0.0%
Department of Transportation,Federal Railroad Administration,Railroad Safety,69-0702,No Year,No Year,69-0702 /X - Railroad Safety,$0.0M,$0.0M,100.0%
Department of Transportation,Federal Railroad Administration,Conrail Labor Protection,69-0707,No Year,No Year,69-0707 /X - Conrail Labor Protection,$0.0M,$0.0M,100.0%
Department of Transportation,Federal Railroad Administration,Local Rail Freight Assistance,69-0714,No Year,No Year,69-0714 /X - Local Rail Freight Assistance,$0.0M,$0.0M,100.0%
Department of Transportation,Federal Railroad Administration,Capital Assistance for High Speed Rail Corridors,69-0718,FY2009-FY2014,2014,69-0718 09/14 - Capital Assistance for High Speed Rail Corridors,$0.0M,$0.0M,100.0%
Department of Transportation,Federal Railroad Administration,Railroad Research and Development,69-0703,No Year,No Year,69-0703 /X - Railroad Research and Development,$0.0M,$0.0M,0.0%
